trip_headsign,freq
TERM. PQ. D. PEDRO II,26
TERM. STO. AMARO,11
TERM. PINHEIROS,10
TERM. GRAJAÚ,7
TERM. SÃO MATEUS,7
METRÔ ITAQUERA,6
TERM. LAPA,6
TERM. VL. CARRÃO,5
TERM. VL. PRUDENTE,5
METRÔ SANTANA,5
PÇA. DO CORREIO,5
TERM. A. E. CARVALHO,5
PÇA. DA REPÚBLICA,4
TERM. SACOMÃ,4
TERM. CAPELINHA,4
TERM. CACHOEIRINHA,4
LUZ,3
TERM. MERCADO,3
ELDORADO,3
SÃO MIGUEL,3
TERM. CID. TIRADENTES,3
METRÔ TUCURUVI,3
METRÔ BELÉM,3
VL. SABRINA,3
TERM. SÃO MIGUEL,3
VL. CISPER (CPTM USP),2
JD. PLANALTO,2
TERM. CASA VERDE,2
VALO VELHO,2
JD. CELESTE,2
METRÔ JABAQUARA,2
CPTM GUAIANAZES,2
METRÔ VL. MADALENA,2
TERM. PIRITUBA,2
PEDRA BRANCA,2
JD. ÂNGELA,2
TERM. CAMPO LIMPO,2
TERM. ARICANDUVA,2
JD. CAMARGO VELHO,2
SÃO MATEUS,2
LGO. SÃO FRANCISCO,2
JD. LIMOEIRO,2
PQ. EDU CHAVES,2
STA. CECÍLIA,2
LAPA,2
JD. PERY ALTO,2
PQ. CONTINENTAL,2
TERM. JOÃO DIAS,2
PQ. DO LAGO,2
VL. CISPER,1
METALÚRGICOS,1
CEASA,1
JD. JOÃO XXIII,1
CDHU BUTANTÃ,1
COHAB FAZENDA DO CARMO,1
HOSP. STA. MARCELINA,1
BARRO BRANCO,1
JD. IV CENTENÁRIO,1
COHAB RAPOSO TAVARES,1
JD. STO. ANDRÉ,1
TERM. PENHA,1
EST. LEOPOLDINA,1
PQ. DA LAPA,1
JD. STO. ANTÔNIO,1
METRÔ VL. MARIANA,1
JD. DANFER,1
JD. GUARUJÁ,1
VL. YOLANDA,1
SAVOY/DALILA,1
JD. LUSO,1
VL. GILDA,1
TERM. JD. JACIRA,1
ARTUR ALVIM,1
VARGEM GRANDE,1
UNISA,1
JD. UNIVERSAL,1
VL. MISSIONÁRIA,1
JD. NORONHA,1
JD. GAIVOTAS,1
MORUMBI SHOP.,1
METRÔ BUTANTÃ,1
JD. RIVIERA,1
JD. SÃO ROBERTO,1
HOSP. HELIÓPOLIS,1
JD. ITÁPOLIS,1
JD. VAZ DE LIMA,1
VL. ARAPUÁ,1
HOSP. SÃO MATEUS,1
JD. IRENE,1
JD. HORIZONTE AZUL,1
TERM. JD. ÂNGELA,1
PQ. NOVO MUNDO,1
ERMELINO MATARAZZO,1
CPTM JARAGUÁ,1
ILHA DO BORORÉ,1
JD. ICARAÍ,1
JD. PRAINHA,1
PQ. RES. DOS LAGOS,1
CANTINHO DO CÉU,1
CONJ. HAB. PALMARES,1
AEROPORTO,1
PÇA. JOÃO MENDES,1
INSTITUTO LUCY MONTORO,1
METRÔ TAMANDUATEÍ,1
STO. AMARO,1
VL. GUMERCINDO,1
PQ. SÃO LUCAS,1
BOM RETIRO,1
VL. INDUSTRIAL,1
PONTE RASA,1
METRÔ PATRIARCA,1
PENHA,1
MANDAQUI,1
VL. SULINA,1
TERM. PRINC. ISABEL,1
LAUZANE PAULISTA,1
TERM. AMARAL GURGEL,1
PÇA. DA SÉ,1
CITY JARAGUÁ,1
CID. KEMEL,1
ESTUDANTES,1
OLIVEIRINHA,1
JD. FLOR DE MAIO,1
JD. BRASIL,1
JD. CAMPO LIMPO,1
VL. ALBERTINA,1
CACHOEIRA,1
VL. NOVA GALVÃO,1
CEM. PQ. DOS PINHEIROS,1
JD. ANTÁRTICA,1
LGO. DO PERY,1
MORRO GRANDE,1
JD. CAROMBÉ,1
VL. MIRANTE,1
JD. PAULISTANO,1
JD. PRINCESA,1
PERUS,1
MORRO DOCE,1
JD. DONÁRIA,1
TAIPAS,1
CID. D’ABRIL 3ª GLEBA,1
PQ. SÃO DOMINGOS,1
VL. PIAUÍ,1
METRÔ BARRA FUNDA,1
PQ. ARARIBA,1
